Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label,Timestamp
15624.1376953125,24703.505859375,20439.6875,59613.890625,35656.62109375,46692.28125,-1655976.5,62127.12109375,0,174744.20475049998
15620.7626953125,24696.93359375,20436.892578125,59611.36328125,35634.89453125,46678.66796875,-1655994.375,62122.29296875,0,174744.2330961
15649.3056640625,24710.76953125,20444.3359375,59643.4609375,35644.03515625,46700.75,-1656079.5,62146.03125,0,174744.2370961
15663.96875,24715.53125,20447.2421875,59638.6796875,35646.0703125,46707.16796875,-1656054.0,62172.26953125,0,174744.24109609998
15640.07421875,24705.875,20443.083984375,59604.703125,35645.7109375,46693.10546875,-1655956.375,62148.53515625,0,174744.24509609997
15658.4697265625,24717.744140625,20449.90234375,59651.5078125,35644.08203125,46697.12890625,-1656078.125,62154.81640625,0,174744.261287
15649.8642578125,24709.541015625,20442.81640625,59614.25,35643.12109375,46685.55078125,-1656001.125,62156.828125,0,174744.265287
15623.154296875,24705.3828125,20439.9765625,59596.96875,35641.77734375,46678.84765625,-1655954.75,62122.96484375,0,174744.26928699997
15628.6298828125,24703.125,20443.642578125,59597.328125,35641.2421875,46683.765625,-1655958.75,62144.33203125,0,174744.3195613
15625.322265625,24709.5625,20448.783203125,59603.18359375,35641.0625,46690.46875,-1655970.0,62127.25390625,0,174744.3235613
15609.6533203125,24702.0078125,20454.685546875,59623.5703125,35618.46484375,46689.3984375,-1655969.5,62035.25390625,1,174746.4230823
15638.0625,24708.892578125,20458.08203125,59652.26953125,35613.01171875,46706.80859375,-1656024.75,62057.91796875,1,174746.42708229998
15670.427734375,24719.77734375,20465.5703125,59671.22265625,35618.82421875,46724.265625,-1656045.875,62110.78125,1,174746.43108229997
15655.8544921875,24711.775390625,20464.498046875,59637.875,35622.109375,46713.1796875,-1655954.25,62107.94140625,1,174746.43508229995
15645.013671875,24715.150390625,20456.0703125,59684.03125,35633.171875,46714.33984375,-1656066.625,62095.08984375,1,174746.451887
15613.2744140625,24690.2734375,20438.30078125,59630.65625,35619.29296875,46675.00390625,-1655948.875,62076.26953125,1,174746.4811428
15594.7001953125,24688.59765625,20439.373046875,59634.58984375,35618.0859375,46668.8125,-1655958.25,62042.4765625,1,174746.4851428
15617.5439453125,24697.962890625,20444.1796875,59649.5859375,35625.28125,46685.62109375,-1656039.75,62059.39453125,1,174746.5642841
15650.2890625,24706.052734375,20445.87890625,59683.25,35626.82421875,46697.35546875,-1656088.625,62107.5390625,1,174746.56828409998
15647.8525390625,24700.845703125,20443.0390625,59650.99609375,35625.73046875,46688.16796875,-1655989.125,62122.046875,1,174746.57228409997
15651.8310546875,24710.724609375,20453.208984375,59676.20703125,35645.17578125,46712.21875,-1656011.125,62121.84765625,1,174746.59256030002
15622.662109375,24701.873046875,20448.740234375,59646.30078125,35649.265625,46696.125,-1655942.625,62089.94921875,1,174746.5965603
15600.1318359375,24705.494140625,20436.9375,59647.73046875,35664.890625,46692.30078125,-1655936.75,62056.66796875,1,174746.62032770002
15615.0625,24714.123046875,20439.1953125,59678.62109375,35665.0234375,46704.1953125,-1656038.75,62073.9921875,1,174746.6243277
15632.228515625,24736.5859375,20460.853515625,59701.75390625,35672.4453125,46730.12109375,-1656065.75,62086.84375,1,174746.6760391
15644.5,24726.349609375,20454.328125,59679.0,35660.890625,46717.2265625,-1656017.25,62102.30859375,1,174746.6800391
